"","aniyr_species","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop","yearx"
"240","1859_2011_roe","roe",8,8,"1859_2011",1859,"m","day",144,54,0,90,0,54,90,144,0,0.375,0,0.625,0,0.375,0.625,1,0,"2011"
"241","1860_2011_roe","roe",8,8,"1860_2011",1860,"m","night",171,161,0,10,0,161,10,171,0,0.941520467836257,0,0.0584795321637427,0,0.941520467836257,0.0584795321637427,1,0,"2011"
"242","1860_2011_roe","roe",8,8,"1860_2011",1860,"m","day",110,91,0,19,0,91,19,110,0,0.827272727272727,0,0.172727272727273,0,0.827272727272727,0.172727272727273,1,0,"2011"
"243","1861_2011_roe","roe",8,8,"1861_2011",1861,"m","night",172,165,0,7,0,165,7,172,0,0.959302325581395,0,0.0406976744186047,0,0.959302325581395,0.0406976744186047,1,0,"2011"
"244","1861_2011_roe","roe",8,8,"1861_2011",1861,"m","day",161,115,0,46,0,115,46,161,0,0.714285714285714,0,0.285714285714286,0,0.714285714285714,0.285714285714286,1,0,"2011"
"245","1865_2011_roe","roe",8,8,"1865_2011",1865,"m","night",181,177,0,4,0,177,4,181,0,0.977900552486188,0,0.0220994475138122,0,0.977900552486188,0.0220994475138122,1,0,"2011"
"246","1865_2011_roe","roe",8,8,"1865_2011",1865,"m","day",167,74,0,93,0,74,93,167,0,0.44311377245509,0,0.55688622754491,0,0.44311377245509,0.55688622754491,1,0,"2011"
"247","1866_2011_roe","roe",8,8,"1866_2011",1866,"f","night",184,181,1,2,0,181,3,183,1,0.983695652173913,0.00543478260869565,0.0108695652173913,0,0.983695652173913,0.016304347826087,0.994565217391304,0.00543478260869565,"2011"
"248","1866_2011_roe","roe",8,8,"1866_2011",1866,"f","day",183,144,1,37,1,145,38,181,2,0.786885245901639,0.00546448087431694,0.202185792349727,0.00546448087431694,0.792349726775956,0.207650273224044,0.989071038251366,0.0109289617486339,"2011"
"249","1867_2011_roe","roe",8,8,"1867_2011",1867,"m","night",180,140,3,35,2,142,38,175,5,0.777777777777778,0.0166666666666667,0.194444444444444,0.0111111111111111,0.788888888888889,0.211111111111111,0.972222222222222,0.0277777777777778,"2011"
"250","1867_2011_roe","roe",8,8,"1867_2011",1867,"m","day",177,62,10,101,4,66,111,163,14,0.350282485875706,0.0564971751412429,0.570621468926554,0.0225988700564972,0.372881355932203,0.627118644067797,0.92090395480226,0.0790960451977401,"2011"
"251","1869_2011_roe","roe",8,8,"1869_2011",1869,"m","night",183,169,8,6,0,169,14,175,8,0.923497267759563,0.0437158469945355,0.0327868852459016,0,0.923497267759563,0.0765027322404372,0.956284153005464,0.0437158469945355,"2011"
"252","1869_2011_roe","roe",8,8,"1869_2011",1869,"m","day",140,6,134,0,0,6,134,6,134,0.0428571428571429,0.957142857142857,0,0,0.0428571428571429,0.957142857142857,0.0428571428571429,0.957142857142857,"2011"
"253","1871_2011_roe","roe",8,8,"1871_2011",1871,"f","night",138,60,69,1,8,68,70,61,77,0.434782608695652,0.5,0.0072463768115942,0.0579710144927536,0.492753623188406,0.507246376811594,0.442028985507246,0.557971014492754,"2011"
"254","1871_2011_roe","roe",8,8,"1871_2011",1871,"f","day",116,19,88,6,3,22,94,25,91,0.163793103448276,0.758620689655172,0.0517241379310345,0.0258620689655172,0.189655172413793,0.810344827586207,0.21551724137931,0.78448275862069,"2011"
"255","1873_2011_roe","roe",8,8,"1873_2011",1873,"f","night",170,106,58,5,1,107,63,111,59,0.623529411764706,0.341176470588235,0.0294117647058824,0.00588235294117647,0.629411764705882,0.370588235294118,0.652941176470588,0.347058823529412,"2011"
