"","species","population","study_areas_id","aniyr","animals_id","area","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","open_tcd","forest_tcd","open_clc","forest_clc","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","open_tcd_prop","forest_tcd_prop","open_clc_prop","forest_clc_prop"
"2.14_2006","roe","2","2","14_2006","14",25.921662109375,"night",643,0,387,0,256,256,387,0,643,0,0.601866251944012,0,0.398133748055988,0.398133748055988,0.601866251944012,0,1
"2.14_2007","roe","2","2","14_2007","14",29.0077473632813,"night",725,0,474,0,251,251,474,0,725,0,0.653793103448276,0,0.346206896551724,0.346206896551724,0.653793103448276,0,1
"2.14_2010","roe","2","2","14_2010","14",29.0810947265625,"night",726,0,493,0,233,233,493,0,726,0,0.679063360881543,0,0.320936639118457,0.320936639118457,0.679063360881543,0,1
"2.1429_2010","roe","2","2","1429_2010","1429",389.424790820313,"night",9731,79,8907,638,107,186,9545,717,9014,0.00811838454424006,0.915322166272737,0.0655636625218374,0.0109957866611859,0.019114171205426,0.980885828794574,0.0736820470660775,0.926317952933922
"2.19_2006","roe","2","2","19_2006","19",163.521672265625,"night",4089,1022,2416,211,440,1462,2627,1233,2856,0.249938860357056,0.590853509415505,0.0516018586451455,0.107605771582294,0.357544631939349,0.642455368060651,0.301540719002201,0.698459280997799
"2.19_2007","roe","2","2","19_2007","19",157.971496289062,"night",3957,1184,2205,164,404,1588,2369,1348,2609,0.29921657821582,0.55724033358605,0.0414455395501643,0.102097548647966,0.401314126863786,0.598685873136214,0.340662117765984,0.659337882234016
"2.1952_2011","roe","2","2","1952_2011","1952",1901.73551044922,"night",47537,1817,44192,691,837,2654,44883,2508,45029,0.038222857984307,0.9296337589667,0.0145360456065801,0.0176073374424133,0.0558301954267202,0.94416980457328,0.0527589035908871,0.947241096409113
"2.1953_2012","roe","2","2","1953_2012","1953",55.9273538085938,"night",1401,0,1394,0,7,7,1394,0,1401,0,0.995003568879372,0,0.00499643112062812,0.00499643112062812,0.995003568879372,0,1
"2.1956_2010","roe","2","2","1956_2010","1956",3734.22258955078,"night",93373,26528,49000,15162,2683,29211,64162,41690,51683,0.28410782560269,0.52477696978784,0.162380988080066,0.0287342165294036,0.312842042132094,0.687157957867906,0.446488813682756,0.553511186317244
"2.1958_2010","roe","2","2","1958_2010","1958",152.239397265625,"night",3807,0,3535,0,272,272,3535,0,3807,0,0.928552666141319,0,0.0714473338586814,0.0714473338586814,0.928552666141319,0,1
"2.1960_2011","roe","2","2","1960_2011","1960",8733.65935898437,"night",218343,101118,97252,11610,8363,109481,108862,112728,105615,0.463115373517814,0.445409287222398,0.053173218284992,0.0383021209747965,0.50141749449261,0.49858250550739,0.516288591802806,0.483711408197194
"2.1962_2010","roe","2","2","1962_2010","1962",6906.49669433594,"night",172670,42371,78076,47581,4642,47013,125657,89952,82718,0.245387154688133,0.452168877048706,0.275560317368391,0.0268836508947704,0.272270805582904,0.727729194417096,0.520947472056524,0.479052527943476
"2.1964_2010","roe","2","2","1964_2010","1964",843.27593203125,"night",21083,3204,16180,994,705,3909,17174,4198,16885,0.151970782146753,0.767442963525115,0.0471469904662524,0.0334392638618792,0.185410046008633,0.814589953991367,0.199117772613006,0.800882227386994
"2.1967_2007","roe","2","2","1967_2007","1967",608.731884765625,"night",15215,10732,0,4483,0,10732,4483,15215,0,0.705356556030233,0,0.294643443969767,0,0.705356556030233,0.294643443969767,1,0
"2.1972_2011","roe","2","2","1972_2011","1972",385.146340625,"night",9635,442,8804,69,320,762,8873,511,9124,0.0458744161909704,0.913751946030099,0.0071613907628438,0.0332122470160872,0.0790866632070576,0.920913336792942,0.0530358069538142,0.946964193046186
"2.1973_2010","roe","2","2","1973_2010","1973",33.315655859375,"night",832,253,380,120,79,332,500,373,459,0.304086538461538,0.456730769230769,0.144230769230769,0.0949519230769231,0.399038461538462,0.600961538461538,0.448317307692308,0.551682692307692
"2.1973_2011","roe","2","2","1973_2011","1973",91.8432061523438,"night",2293,616,1319,133,225,841,1452,749,1544,0.268643698211949,0.57522895769734,0.0580026166593982,0.0981247274313127,0.366768425643262,0.633231574356738,0.326646314871348,0.673353685128652
"2.1976_2006","roe","2","2","1976_2006","1976",8605.91097685547,"night",215154,61159,134202,11544,8249,69408,145746,72703,142451,0.284256857878543,0.623748570791154,0.0536545915948576,0.0383399797354453,0.322596837613988,0.677403162386012,0.3379114494734,0.6620885505266
"2.1977_2011","roe","2","2","1977_2011","1977",86.4534890625,"night",2164,75,1736,53,300,375,1789,128,2036,0.0346580406654344,0.802218114602588,0.0244916820702403,0.138632162661738,0.173290203327172,0.826709796672828,0.0591497227356747,0.940850277264325
"2.1982_2010","roe","2","2","1982_2010","1982",134.130352050781,"night",3358,0,2918,0,440,440,2918,0,3358,0,0.868969624776653,0,0.131030375223347,0.131030375223347,0.868969624776653,0,1
"2.1985_2010","roe","2","2","1985_2010","1985",99.9459858398437,"night",2498,0,2142,0,356,356,2142,0,2498,0,0.857485988791033,0,0.142514011208967,0.142514011208967,0.857485988791033,0,1
"2.1987_2011","roe","2","2","1987_2011","1987",168.942525585937,"night",4225,585,2944,493,203,788,3437,1078,3147,0.138461538461538,0.696804733727811,0.116686390532544,0.0480473372781065,0.186508875739645,0.813491124260355,0.255147928994083,0.744852071005917
"2.1989_2011","roe","2","2","1989_2011","1989",7896.90510449219,"night",197430,36782,130737,23213,6698,43480,153950,59995,137435,0.186304006483311,0.662194195411032,0.117575849668237,0.0339259484374209,0.220229954920731,0.779770045079269,0.303879856151547,0.696120143848453
"2.1991_2010","roe","2","2","1991_2010","1991",4739.53672001953,"night",118494,61947,41326,13202,2019,63966,54528,75149,43345,0.522785963846271,0.348760274781846,0.111414923962395,0.0170388374094891,0.53982480125576,0.46017519874424,0.634200887808665,0.365799112191335
"2.1993_2010","roe","2","2","1993_2010","1993",31.7965813476563,"night",794,152,577,48,17,169,625,200,594,0.191435768261965,0.726700251889169,0.0604534005037783,0.0214105793450882,0.212846347607053,0.787153652392947,0.251889168765743,0.748110831234257
"2.1994_2010","roe","2","2","1994_2010","1994",135.1655984375,"night",3374,401,2560,396,17,418,2956,797,2577,0.118850029638411,0.758743331357439,0.117368109069354,0.0050385299347955,0.123888559573207,0.876111440426793,0.236218138707765,0.763781861292235
